thirdAc,arrival,from_station_code,name,zone,chair_car,first_class,duration_m,sleeper,from_station_name,number,departure,return_train,to_station_code,second_ac,to_station_name,duration_h,type_of_train,first_ac,distance
1,18:00:00,MDU,MADURAI - DELHI H NIZAMUDDIN Tamil Nadu S Kranti,SR,0,0,5,1,MADURAI JN,12651,23:55:00,12652,NZM,1,DELHI H NIZAMUDDIN,42,SKr,1,2677
1,08:15:00,MAQ,Mangalore Tiruchirappalli Weekly Superfast Express,SR,0,0,30,1,MANGALORE CNTL,12654,20:45:00,12653,TPJ,1,TIRUCHIRAPPALLI,11,SF,0,635
1,05:10:00,MAS,CHENNAI - BANGALORE Mail,SWR,0,0,55,1,CHENNAI CENTRAL,12657,23:15:00,12658,SBC,1,BANGALORE CITY JN,5,SF,1,362
1,04:40:00,SBC,BANGALORE - CHENNAI Mail,SWR,0,0,55,1,BANGALORE CITY JN,12658,22:45:00,12657,MAS,1,CHENNAI CENTRAL,5,SF,1,362
1,07:05:00,SCT,SENGOTTAI - CHENNAI EGMORE Pothigai SF Exp,SR,0,0,5,1,SENGOTTAI,12662,19:00:00,12661,MS,1,CHENNAI EGMORE,12,SF,0,670
1,03:20:00,TPJ,Tiruchirappalli-Howrah Express,SR,0,0,20,1,TIRUCHIRAPPALLI,12664,16:00:00,12663,HWH,1,HOWRAH JN,35,SF,0,2025
1,09:30:00,GHY,Jorhat Town InterCity Express,NFR,0,0,0,1,GUWAHATI,15605,22:30:00,15606,MXN,0,MARIANI JN,11,Exp,0,405
0,08:25:00,MSB,Chennai Beach Tambaram EMU(12 Car),SR,0,0,55,0,CHENNAI BEACH,40011,07:30:00,,TBM,0,TAMBARAM,0,MEMU,0,33
1,13:10:00,ERS,ERNAKULAM - NEW DELHI H NIZAMUDDIN Mangala Lakshadweep Exp,SR,0,0,0,1,ERNAKULAM JN,12617,13:10:00,12618,NZM,1,DELHI H NIZAMUDDIN,48,SF,0,3067
1,10:00:00,NZM,NEW DELHI H NIZAMUDDIN - ERNAKULAM Mangala Lakshadweep Exp,SR,0,0,40,1,DELHI H NIZAMUDDIN,12618,09:20:00,12617,ERS,1,ERNAKULAM JN,48,SF,0,3067
1,07:00:00,MAS,Tamil Nadu Express,SR,0,0,0,1,CHENNAI CENTRAL,12621,22:00:00,12622,NDLS,1,NEW DELHI,33,SF,1,2184
1,10:35:00,SBC,Karnataka Express,SWR,0,0,15,1,BANGALORE CITY JN,12627,19:20:00,12628,NDLS,1,NEW DELHI,39,SF,1,2406
1,08:30:00,MS,CHENNAI EGMORE - TIRUNELVELI Nellai SF Exp,SR,0,1,40,1,CHENNAI EGMORE,12631,20:50:00,12632,TEN,1,TIRUNELVELI,11,SF,0,653
1,06:40:00,TEN,TIRUNELVELI - CHENNAI EGMORE Nellai SF Exp,SR,0,1,50,1,TIRUNELVELI,12632,18:50:00,12631,MS,1,CHENNAI EGMORE,11,SF,0,653
